timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING
1680839696180,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680839713182,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680839955287,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680839972298,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680839989247,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680840006220,,1.0,2.0,,,97.0,97.0,
1680840023918,,1.0,2.0,,3.0,92.0,92.0,2.0
1680840039444,,,2.0,2.0,3.0,88.0,88.0,4.0
1680840056452,,,2.0,1.0,1.0,88.0,88.0,8.0
1680840072522,,,3.0,,,96.0,96.0,1.0
1680840089495,,1.0,3.0,,1.0,94.0,94.0,1.0
1680840105802,,,2.0,,1.0,95.0,95.0,2.0
1680840122782,,,2.0,,,98.0,98.0,
1680840138993,,2.0,2.0,2.0,3.0,88.0,88.0,2.0
1680840155975,,5.0,1.0,1.0,1.0,90.0,90.0,2.0
1680840172224,,1.0,2.0,,,96.0,96.0,1.0
1680840189157,,,3.0,,,97.0,97.0,
1680840205495,,1.0,2.0,,,97.0,97.0,
1680840232215,,1.0,2.0,,,96.0,96.0,1.0
1680840249390,,2.0,2.0,,,95.0,95.0,1.0
1680840266378,,2.0,1.0,,,96.0,96.0,1.0
1680840283420,,4.0,2.0,,,93.0,93.0,1.0
1680840300442,,2.0,2.0,,,95.0,95.0,1.0
1680840317480,,10.0,1.0,,,88.0,88.0,1.0
1680840334521,,3.0,1.0,,,95.0,95.0,1.0
1680840351536,,3.0,1.0,,,96.0,96.0,
1680840368531,,5.0,1.0,,,93.0,93.0,1.0
1680840385539,,1.0,2.0,2.0,,95.0,95.0,
1680840402516,,3.0,3.0,1.0,,92.0,92.0,1.0
1680840419528,,1.0,2.0,1.0,1.0,94.0,94.0,1.0
1680840436532,,1.0,2.0,,1.0,96.0,96.0,
1680840453499,,1.0,2.0,,,96.0,96.0,1.0
1680840764698,,,2.0,,1.0,96.0,96.0,1.0
1680840781691,,4.0,3.0,2.0,2.0,87.0,87.0,1.0
1680840798693,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680840815678,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680840839496,,96.0,1.0,2.0,,1.0,1.0,
1680840850468,,37.0,1.0,18.0,9.0,23.0,23.0,1.0
1680840889323,,98.0,2.0,,,,,
1680840908050,,96.0,1.0,1.0,,1.0,1.0,
1680840925071,,98.0,1.0,1.0,,,,
1680840942083,,99.0,1.0,,,,,
1680840959070,,99.0,1.0,,,,,
1680840976053,,99.0,1.0,,,,,
1680840993043,,99.0,1.0,,,,,
1680841010060,,99.0,1.0,,,,,
1680841027091,,99.0,1.0,,,,,
1680841044075,,99.0,1.0,,,,,
1680841061080,,99.0,1.0,,,,,
1680841082609,,99.0,1.0,,,,,
1680841099614,,99.0,1.0,,,,,
1680841116615,,99.0,1.0,,,,,
1680841133607,,99.0,1.0,,,,,
1680841150601,,99.0,1.0,,,,,
1680841167603,,99.0,1.0,,,,,
1680841184620,,99.0,1.0,,,,,
1680841201572,,97.0,,1.0,,1.0,1.0,
1680841218551,,59.0,3.0,16.0,1.0,14.0,14.0,
1680841235545,,39.0,2.0,18.0,3.0,30.0,30.0,
1680841252548,,33.0,2.0,20.0,4.0,24.0,24.0,
1680841269491,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680841286437,,96.0,2.0,2.0,,,,
1680841303912,,51.0,2.0,18.0,1.0,23.0,23.0,
1680841320494,,100.0,,,,,,
1680841337501,,99.0,1.0,,,,,
1680841352040,,99.0,1.0,,,,,
1680841369027,,99.0,1.0,,,,,
1680841387186,,99.0,1.0,,,,,
1680841404170,,99.0,1.0,,,,,
1680841421182,,99.0,1.0,,,,,
1680841438167,,99.0,1.0,,,,,
1680841455160,,99.0,1.0,,,,,
1680841472244,,99.0,1.0,,,,,
1680841489169,,99.0,1.0,,,,,
1680841506159,,99.0,1.0,,,,,
1680878591326,100.0,,,,,,,
1680878591339,,97.0,2.0,1.0,,,,
1680880040860,100.0,,,,,,,
1680880040895,,100.0,,,,,,
1680880715007,100.0,,,,,,,
1680880715058,,99.0,1.0,,,,,
1680881635376,,100.0,,,,,,
1680881895513,,100.0,,,,,,
1680884222714,,100.0,,,,,,
1680885208279,100.0,,,,,,,
1680885208326,,98.0,1.0,1.0,,,,
1680885877199,100.0,,,,,,,
1680885877245,,100.0,,,,,,
1680887326349,,100.0,,,,,,
1680887579347,,100.0,,,,,,
1680841523171,,99.0,1.0,,,,,
1680841540181,,99.0,1.0,,,,,
1680841557159,,99.0,1.0,,,,,
1680841574161,,99.0,1.0,,,,,
1680841591138,,99.0,1.0,,,,,
1680841608116,,99.0,1.0,,,,,
1680841625096,,99.0,1.0,,,,,
1680841642062,,99.0,1.0,,,,,
1680841656631,,99.0,1.0,,,,,
